,country,date,CountryCode,latitude,longitude,cumulative_total_cases,daily_new_cases,active_cases,cumulative_total_deaths,daily_new_deaths
0,Afghanistan,13/12/2020,AF,33.93911,67.709953,49273,321,8918,1971,11
1,Afghanistan,14/12/2020,AF,33.93911,67.709953,49484,211,9099,1975,4
2,Afghanistan,15/12/2020,AF,33.93911,67.709953,49703,219,9202,2001,26
3,Afghanistan,16/12/2020,AF,33.93911,67.709953,49970,267,9305,2017,16
4,Afghanistan,17/12/2020,AF,33.93911,67.709953,50202,232,9484,2032,15
5,Afghanistan,18/12/2020,AF,33.93911,67.709953,50445,243,9687,2037,5
6,Afghanistan,19/12/2020,AF,33.93911,67.709953,50536,91,9683,2054,17
7,Afghanistan,20/12/2020,AF,33.93911,67.709953,50677,141,9430,2089,35
8,Afghanistan,21/12/2020,AF,33.93911,67.709953,50888,211,9098,2089,0
9,Afghanistan,22/12/2020,AF,33.93911,67.709953,51089,201,9200,2105,16
10,Afghanistan,23/12/2020,AF,33.93911,67.709953,51357,268,9331,2126,21
11,Afghanistan,24/12/2020,AF,33.93911,67.709953,51595,238,8889,2135,9
12,Afghanistan,25/12/2020,AF,33.93911,67.709953,51764,169,8951,2148,13
13,Afghanistan,26/12/2020,AF,33.93911,67.709953,51844,80,8674,2158,10
14,Afghanistan,27/12/2020,AF,33.93911,67.709953,52007,163,8506,2170,12
15,Afghanistan,28/12/2020,AF,33.93911,67.709953,52147,140,8355,2182,12
16,Afghanistan,29/12/2020,AF,33.93911,67.709953,52330,183,8340,2189,7
17,Afghanistan,30/12/2020,AF,33.93911,67.709953,52330,0,8340,2189,0
18,Afghanistan,31/12/2020,AF,33.93911,67.709953,52513,183,8306,2201,12
19,Afghanistan,01/01/2021,AF,33.93911,67.709953,52586,73,8200,2211,10
20,Afghanistan,02/01/2021,AF,33.93911,67.709953,52709,123,8197,2221,10
21,Afghanistan,03/01/2021,AF,33.93911,67.709953,52909,200,8274,2230,9
22,Afghanistan,04/01/2021,AF,33.93911,67.709953,53011,102,8244,2237,7
23,Afghanistan,05/01/2021,AF,33.93911,67.709953,53105,94,8195,2244,7
24,Afghanistan,06/01/2021,AF,33.93911,67.709953,53207,102,8114,2253,9
25,Afghanistan,07/01/2021,AF,33.93911,67.709953,53332,125,7784,2257,4
26,Afghanistan,08/01/2021,AF,33.93911,67.709953,53400,68,7696,2264,7
27,Afghanistan,09/01/2021,AF,33.93911,67.709953,53489,89,7472,2277,13
28,Afghanistan,10/01/2021,AF,33.93911,67.709953,53522,33,7286,2288,11
29,Afghanistan,11/01/2021,AF,33.93911,67.709953,53584,62,7146,2301,13
30,Afghanistan,12/01/2021,AF,33.93911,67.709953,53690,106,6774,2308,7
31,Afghanistan,13/01/2021,AF,33.93911,67.709953,53774,84,6607,2317,9
32,Afghanistan,14/01/2021,AF,33.93911,67.709953,53831,57,6209,2324,7
33,Afghanistan,15/01/2021,AF,33.93911,67.709953,53938,107,6168,2336,12
34,Afghanistan,16/01/2021,AF,33.93911,67.709953,53984,46,6180,2339,3
35,Afghanistan,17/01/2021,AF,33.93911,67.709953,54062,78,5851,2343,4
36,Afghanistan,18/01/2021,AF,33.93911,67.709953,54141,79,5436,2346,3
37,Afghanistan,19/01/2021,AF,33.93911,67.709953,54278,137,5370,2354,8
38,Afghanistan,20/01/2021,AF,33.93911,67.709953,54403,125,5281,2363,9
39,Afghanistan,21/01/2021,AF,33.93911,67.709953,54483,80,5226,2370,7
40,Afghanistan,22/01/2021,AF,33.93911,67.709953,54559,76,5274,2373,3
41,Afghanistan,23/01/2021,AF,33.93911,67.709953,54595,36,5274,2378,5
42,Afghanistan,24/01/2021,AF,33.93911,67.709953,54672,77,4989,2385,7
43,Afghanistan,25/01/2021,AF,33.93911,67.709953,54750,78,4996,2389,4
44,Afghanistan,26/01/2021,AF,33.93911,67.709953,54854,104,5006,2389,0
45,Afghanistan,27/01/2021,AF,33.93911,67.709953,54891,37,4945,2397,8
46,Afghanistan,28/01/2021,AF,33.93911,67.709953,54939,48,4957,2399,2
47,Afghanistan,29/01/2021,AF,33.93911,67.709953,55008,69,5002,2400,1
48,Afghanistan,30/01/2021,AF,33.93911,67.709953,55023,15,5014,2400,0
49,Afghanistan,31/01/2021,AF,33.93911,67.709953,55059,36,4976,2404,4
50,Afghanistan,01/02/2021,AF,33.93911,67.709953,55121,62,4993,2405,1
51,Afghanistan,02/02/2021,AF,33.93911,67.709953,55174,53,4970,2406,1
52,Afghanistan,03/02/2021,AF,33.93911,67.709953,55231,57,4842,2407,1
53,Afghanistan,04/02/2021,AF,33.93911,67.709953,55265,34,4863,2407,0
54,Afghanistan,05/02/2021,AF,33.93911,67.709953,55330,65,4904,2408,1
55,Afghanistan,06/02/2021,AF,33.93911,67.709953,55335,5,4898,2410,2
56,Afghanistan,07/02/2021,AF,33.93911,67.709953,55359,24,4905,2413,3
57,Afghanistan,08/02/2021,AF,33.93911,67.709953,55386,27,4930,2414,1
58,Afghanistan,09/02/2021,AF,33.93911,67.709953,55402,16,4875,2418,4
59,Afghanistan,10/02/2021,AF,33.93911,67.709953,55420,18,4868,2419,1
60,Afghanistan,11/02/2021,AF,33.93911,67.709953,55445,25,4742,2424,5
61,Afghanistan,12/02/2021,AF,33.93911,67.709953,55473,28,4656,2427,3
62,Afghanistan,13/02/2021,AF,33.93911,67.709953,55492,19,4673,2427,0
63,Afghanistan,14/02/2021,AF,33.93911,67.709953,55514,22,4692,2427,0
64,Afghanistan,15/02/2021,AF,33.93911,67.709953,55518,4,4657,2428,1
65,Afghanistan,16/02/2021,AF,33.93911,67.709953,55540,22,4598,2428,0
66,Afghanistan,17/02/2021,AF,33.93911,67.709953,55557,17,4501,2430,2
67,Afghanistan,18/02/2021,AF,33.93911,67.709953,55575,18,4347,2430,0
68,Afghanistan,19/02/2021,AF,33.93911,67.709953,55580,5,4347,2430,0
69,Afghanistan,20/02/2021,AF,33.93911,67.709953,55604,24,4352,2432,2
70,Afghanistan,21/02/2021,AF,33.93911,67.709953,55617,13,4350,2433,1
71,Afghanistan,22/02/2021,AF,33.93911,67.709953,55646,29,4316,2435,2
72,Afghanistan,23/02/2021,AF,33.93911,67.709953,55664,18,4261,2436,1
73,Afghanistan,24/02/2021,AF,33.93911,67.709953,55680,16,4156,2438,2
74,Afghanistan,25/02/2021,AF,33.93911,67.709953,55696,16,3973,2442,4
75,Afghanistan,26/02/2021,AF,33.93911,67.709953,55707,11,3979,2443,1
76,Afghanistan,27/02/2021,AF,33.93911,67.709953,55714,7,3983,2443,0
77,Afghanistan,28/02/2021,AF,33.93911,67.709953,55733,19,3956,2444,1
78,Afghanistan,01/03/2021,AF,33.93911,67.709953,55759,26,3969,2446,2
79,Afghanistan,02/03/2021,AF,33.93911,67.709953,55770,11,3977,2446,0
80,Afghanistan,03/03/2021,AF,33.93911,67.709953,55797,27,3991,2447,1
81,Afghanistan,04/03/2021,AF,33.93911,67.709953,55840,43,4029,2449,2
82,Afghanistan,05/03/2021,AF,33.93911,67.709953,55840,0,4029,2449,0
83,Afghanistan,06/03/2021,AF,33.93911,67.709953,55847,7,4029,2449,0
84,Afghanistan,07/03/2021,AF,33.93911,67.709953,55854,7,4025,2451,2
85,Afghanistan,08/03/2021,AF,33.93911,67.709953,55868,14,4015,2451,0
86,Afghanistan,09/03/2021,AF,33.93911,67.709953,55894,26,4034,2451,0
87,Afghanistan,10/03/2021,AF,33.93911,67.709953,55901,7,3982,2451,0
88,Afghanistan,11/03/2021,AF,33.93911,67.709953,55940,39,4018,2454,3
89,Afghanistan,12/03/2021,AF,33.93911,67.709953,55957,17,4001,2457,3
90,Afghanistan,13/03/2021,AF,33.93911,67.709953,55959,2,4031,2457,0
91,Afghanistan,14/03/2021,AF,33.93911,67.709953,55972,13,4036,2459,2
92,Afghanistan,15/03/2021,AF,33.93911,67.709953,55995,23,4054,2460,1
93,Afghanistan,16/03/2021,AF,33.93911,67.709953,56016,21,4057,2460,0
94,Afghanistan,17/03/2021,AF,33.93911,67.709953,56044,28,4046,2462,2
95,Afghanistan,18/03/2021,AF,33.93911,67.709953,56069,25,3943,2462,0
96,Afghanistan,19/03/2021,AF,33.93911,67.709953,56093,24,3950,2462,0
97,Afghanistan,20/03/2021,AF,33.93911,67.709953,56103,10,3959,2463,1
98,Afghanistan,21/03/2021,AF,33.93911,67.709953,56153,50,3952,2464,1
99,Afghanistan,22/03/2021,AF,33.93911,67.709953,56177,24,3968,2466,2
100,Albania,13/12/2020,AL,41.153332,20.168331,48530,788,22707,1003,14
101,Albania,14/12/2020,AL,41.153332,20.168331,49191,661,22850,1016,13
102,Albania,15/12/2020,AL,41.153332,20.168331,50000,809,23096,1028,12
103,Albania,16/12/2020,AL,41.153332,20.168331,50637,637,23216,1040,12
104,Albania,17/12/2020,AL,41.153332,20.168331,51424,787,23471,1055,15
105,Albania,18/12/2020,AL,41.153332,20.168331,52004,580,23512,1066,11
106,Albania,19/12/2020,AL,41.153332,20.168331,52542,538,23637,1074,8
107,Albania,20/12/2020,AL,41.153332,20.168331,53003,461,23794,1088,14
108,Albania,21/12/2020,AL,41.153332,20.168331,53425,422,23575,1098,10
109,Albania,22/12/2020,AL,41.153332,20.168331,53814,389,23454,1111,13
110,Albania,23/12/2020,AL,41.153332,20.168331,54317,503,23401,1117,6
111,Albania,24/12/2020,AL,41.153332,20.168331,54827,510,23426,1125,8
112,Albania,25/12/2020,AL,41.153332,20.168331,55380,553,23456,1134,9
113,Albania,26/12/2020,AL,41.153332,20.168331,55755,375,23431,1143,9
114,Albania,27/12/2020,AL,41.153332,20.168331,56254,499,23536,1153,10
115,Albania,28/12/2020,AL,41.153332,20.168331,56572,318,23286,1164,11
116,Albania,29/12/2020,AL,41.153332,20.168331,57146,574,23276,1170,6
117,Albania,30/12/2020,AL,41.153332,20.168331,57727,581,23368,1174,4
118,Albania,31/12/2020,AL,41.153332,20.168331,58316,589,23501,1181,7
119,Albania,01/01/2021,AL,41.153332,20.168331,58723,407,23599,1186,5
120,Albania,02/01/2021,AL,41.153332,20.168331,58991,268,23448,1190,4
121,Albania,03/01/2021,AL,41.153332,20.168331,59438,447,23597,1193,3
122,Albania,04/01/2021,AL,41.153332,20.168331,59623,185,23428,1199,6
123,Albania,05/01/2021,AL,41.153332,20.168331,60283,660,23522,1210,11
124,Albania,06/01/2021,AL,41.153332,20.168331,61008,725,23689,1217,7
125,Albania,07/01/2021,AL,41.153332,20.168331,61705,697,23947,1223,6
126,Albania,08/01/2021,AL,41.153332,20.168331,62378,673,24177,1230,7
127,Albania,09/01/2021,AL,41.153332,20.168331,63033,655,24473,1233,3
128,Albania,10/01/2021,AL,41.153332,20.168331,63595,562,24706,1241,8
