country,date,date,orderedDays,CountryCode,latitude,longitude,cumulative_total_cases,daily_new_cases,active_cases,cumulative_total_deaths,daily_new_deaths
Afghanistan,2020-12-13,44178,1,AF,33.93911,67.709953,49273,321,8918,1971,11
Afghanistan,2020-12-14,44179,2,AF,33.93911,67.709953,49484,211,9099,1975,4
Afghanistan,2020-12-15,44180,3,AF,33.93911,67.709953,49703,219,9202,2001,26
Afghanistan,2020-12-16,44181,4,AF,33.93911,67.709953,49970,267,9305,2017,16
Afghanistan,2020-12-17,44182,5,AF,33.93911,67.709953,50202,232,9484,2032,15
Afghanistan,2020-12-18,44183,6,AF,33.93911,67.709953,50445,243,9687,2037,5
Afghanistan,2020-12-19,44184,7,AF,33.93911,67.709953,50536,91,9683,2054,17
Afghanistan,2020-12-20,44185,8,AF,33.93911,67.709953,50677,141,9430,2089,35
Afghanistan,2020-12-21,44186,9,AF,33.93911,67.709953,50888,211,9098,2089,0
Afghanistan,2020-12-22,44187,10,AF,33.93911,67.709953,51089,201,9200,2105,16
Afghanistan,2020-12-23,44188,11,AF,33.93911,67.709953,51357,268,9331,2126,21
Afghanistan,2020-12-24,44189,12,AF,33.93911,67.709953,51595,238,8889,2135,9
Afghanistan,2020-12-25,44190,13,AF,33.93911,67.709953,51764,169,8951,2148,13
Afghanistan,2020-12-26,44191,14,AF,33.93911,67.709953,51844,80,8674,2158,10
Afghanistan,2020-12-27,44192,15,AF,33.93911,67.709953,52007,163,8506,2170,12
Afghanistan,2020-12-28,44193,16,AF,33.93911,67.709953,52147,140,8355,2182,12
Afghanistan,2020-12-29,44194,17,AF,33.93911,67.709953,52330,183,8340,2189,7
Afghanistan,2020-12-30,44195,18,AF,33.93911,67.709953,52330,0,8340,2189,0
Afghanistan,2020-12-31,44196,19,AF,33.93911,67.709953,52513,183,8306,2201,12
Afghanistan,2021-01-01,44197,20,AF,33.93911,67.709953,52586,73,8200,2211,10
Afghanistan,2021-01-02,44198,21,AF,33.93911,67.709953,52709,123,8197,2221,10
Afghanistan,2021-01-03,44199,22,AF,33.93911,67.709953,52909,200,8274,2230,9
Afghanistan,2021-01-04,44200,23,AF,33.93911,67.709953,53011,102,8244,2237,7
Afghanistan,2021-01-05,44201,24,AF,33.93911,67.709953,53105,94,8195,2244,7
Afghanistan,2021-01-06,44202,25,AF,33.93911,67.709953,53207,102,8114,2253,9
Afghanistan,2021-01-07,44203,26,AF,33.93911,67.709953,53332,125,7784,2257,4
Afghanistan,2021-01-08,44204,27,AF,33.93911,67.709953,53400,68,7696,2264,7
Afghanistan,2021-01-09,44205,28,AF,33.93911,67.709953,53489,89,7472,2277,13
Afghanistan,2021-01-10,44206,29,AF,33.93911,67.709953,53522,33,7286,2288,11
Afghanistan,2021-01-11,44207,30,AF,33.93911,67.709953,53584,62,7146,2301,13
Afghanistan,2021-01-12,44208,31,AF,33.93911,67.709953,53690,106,6774,2308,7
Afghanistan,2021-01-13,44209,32,AF,33.93911,67.709953,53774,84,6607,2317,9
Afghanistan,2021-01-14,44210,33,AF,33.93911,67.709953,53831,57,6209,2324,7
Afghanistan,2021-01-15,44211,34,AF,33.93911,67.709953,53938,107,6168,2336,12
Afghanistan,2021-01-16,44212,35,AF,33.93911,67.709953,53984,46,6180,2339,3
Afghanistan,2021-01-17,44213,36,AF,33.93911,67.709953,54062,78,5851,2343,4
Afghanistan,2021-01-18,44214,37,AF,33.93911,67.709953,54141,79,5436,2346,3
Afghanistan,2021-01-19,44215,38,AF,33.93911,67.709953,54278,137,5370,2354,8
Afghanistan,2021-01-20,44216,39,AF,33.93911,67.709953,54403,125,5281,2363,9
