country,isoCode,date,totalVaccinations,peopleVaccinated,peopleFullyVaccinated,dailyVaccinationsRaw,dailyVaccinations,totalVaccinationsPerHundred,peopleVaccinatedPerHundred,peopleFullyVaccinatedPerHundred,dailyVaccinationsPerMillion,vaccines
Afghanistan,AFG,2021-02-22,0,0,0,0,0,0,0,0,0,Oxford/AstraZeneca
Afghanistan,AFG,2021-02-23,0,0,0,0,1367,0,0,0,35,Oxford/AstraZeneca
Afghanistan,AFG,2021-02-24,0,0,0,0,1367,0,0,0,35,Oxford/AstraZeneca
Afghanistan,AFG,2021-02-25,0,0,0,0,1367,0,0,0,35,Oxford/AstraZeneca
Afghanistan,AFG,2021-02-26,0,0,0,0,1367,0,0,0,35,Oxford/AstraZeneca
Afghanistan,AFG,2021-02-27,0,0,0,0,1367,0,0,0,35,Oxford/AstraZeneca
Afghanistan,AFG,2021-02-28,8200,8200,0,0,1367,0.02,0.02,0,35,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-01,8200,8200,0,0,1580,0.02,0.02,0,41,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-02,8200,8200,0,0,1794,0.02,0.02,0,46,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-03,8200,8200,0,0,2008,0.02,0.02,0,52,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-04,8200,8200,0,0,2221,0.02,0.02,0,57,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-05,8200,8200,0,0,2435,0.02,0.02,0,63,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-06,8200,8200,0,0,2649,0.02,0.02,0,68,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-07,8200,8200,0,0,2862,0.02,0.02,0,74,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-08,8200,8200,0,0,2862,0.02,0.02,0,74,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-09,8200,8200,0,0,2862,0.02,0.02,0,74,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-10,8200,8200,0,0,2862,0.02,0.02,0,74,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-11,8200,8200,0,0,2862,0.02,0.02,0,74,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-12,8200,8200,0,0,2862,0.02,0.02,0,74,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-13,8200,8200,0,0,2862,0.02,0.02,0,74,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-14,8200,8200,0,0,2862,0.02,0.02,0,74,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-15,8200,8200,0,0,2862,0.02,0.02,0,74,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-16,54000,54000,0,0,2862,0.14,0.14,0,74,Oxford/AstraZeneca
Albania,ALB,2021-01-10,0,0,0,0,2862,0,0,0,74,Pfizer/BioNTech
Albania,ALB,2021-01-11,0,0,0,0,64,0,0,0,22,Pfizer/BioNTech
Albania,ALB,2021-01-12,128,128,0,0,64,0,0,0,22,Pfizer/BioNTech
Albania,ALB,2021-01-13,188,188,0,60,63,0.01,0.01,0,22,Pfizer/BioNTech
Albania,ALB,2021-01-14,266,266,0,78,66,0.01,0.01,0,23,Pfizer/BioNTech
Albania,ALB,2021-01-15,308,308,0,42,62,0.01,0.01,0,22,Pfizer/BioNTech
Albania,ALB,2021-01-16,369,369,0,61,62,0.01,0.01,0,22,Pfizer/BioNTech
Albania,ALB,2021-01-17,405,405,0,36,58,0.01,0.01,0,20,Pfizer/BioNTech
Albania,ALB,2021-01-18,447,447,0,42,55,0.02,0.02,0,19,Pfizer/BioNTech
Albania,ALB,2021-01-19,483,483,0,36,51,0.02,0.02,0,18,Pfizer/BioNTech
Albania,ALB,2021-01-20,519,519,0,36,47,0.02,0.02,0,16,Pfizer/BioNTech
Albania,ALB,2021-01-21,549,549,0,30,40,0.02,0.02,0,14,Pfizer/BioNTech
Albania,ALB,2021-01-22,549,549,0,30,34,0.02,0.02,0,12,Pfizer/BioNTech
Albania,ALB,2021-01-23,549,549,0,30,26,0.02,0.02,0,9,Pfizer/BioNTech
Albania,ALB,2021-01-24,549,549,0,30,21,0.02,0.02,0,7,Pfizer/BioNTech
Albania,ALB,2021-01-25,549,549,0,30,15,0.02,0.02,0,5,Pfizer/BioNTech
Albania,ALB,2021-01-26,549,549,0,30,9,0.02,0.02,0,3,Pfizer/BioNTech
Albania,ALB,2021-01-27,549,549,0,30,4,0.02,0.02,0,1,Pfizer/BioNTech
Albania,ALB,2021-01-28,549,549,0,30,4,0.02,0.02,0,1,Pfizer/BioNTech
Albania,ALB,2021-01-29,549,549,0,30,4,0.02,0.02,0,1,Pfizer/BioNTech
Albania,ALB,2021-01-30,549,549,0,30,4,0.02,0.02,0,1,Pfizer/BioNTech
Albania,ALB,2021-01-31,549,549,0,30,4,0.02,0.02,0,1,Pfizer/BioNTech
Albania,ALB,2021-02-01,549,549,0,30,4,0.02,0.02,0,1,Pfizer/BioNTech
Albania,ALB,2021-02-02,550,549,1,30,4,0.02,0.02,0,1,Pfizer/BioNTech
Albania,ALB,2021-02-03,550,549,1,30,12,0.02,0.02,0,4,Pfizer/BioNTech
Albania,ALB,2021-02-04,550,549,1,30,24,0.02,0.02,0,8,Pfizer/BioNTech
Albania,ALB,2021-02-05,550,549,1,30,35,0.02,0.02,0,12,Pfizer/BioNTech
Albania,ALB,2021-02-06,550,549,1,30,47,0.02,0.02,0,16,Pfizer/BioNTech
Albania,ALB,2021-02-07,550,549,1,30,59,0.02,0.02,0,21,Pfizer/BioNTech
Albania,ALB,2021-02-08,550,549,1,30,71,0.02,0.02,0,25,Pfizer/BioNTech
Albania,ALB,2021-02-09,1127,689,438,30,82,0.04,0.02,0.02,28,Pfizer/BioNTech
Albania,ALB,2021-02-10,1127,689,438,30,81,0.04,0.02,0.02,28,Pfizer/BioNTech
Albania,ALB,2021-02-11,1127,689,438,30,79,0.04,0.02,0.02,27,Pfizer/BioNTech
Albania,ALB,2021-02-12,1127,689,438,30,78,0.04,0.02,0.02,27,Pfizer/BioNTech
Albania,ALB,2021-02-13,1127,689,438,30,76,0.04,0.02,0.02,26,Pfizer/BioNTech
Albania,ALB,2021-02-14,1127,689,438,30,75,0.04,0.02,0.02,26,Pfizer/BioNTech
Albania,ALB,2021-02-15,1127,689,438,30,73,0.04,0.02,0.02,25,Pfizer/BioNTech
Albania,ALB,2021-02-16,1127,689,438,30,72,0.04,0.02,0.02,25,Pfizer/BioNTech
Albania,ALB,2021-02-17,1701,1090,611,30,72,0.06,0.04,0.02,25,Pfizer/BioNTech
Albania,ALB,2021-02-18,3049,2438,611,1348,254,0.11,0.08,0.02,88,Pfizer/BioNTech
Albania,ALB,2021-02-19,4177,2438,611,1128,405,0.15,0.08,0.02,141,Pfizer/BioNTech
Albania,ALB,2021-02-20,4177,2438,611,1128,516,0.15,0.08,0.02,179,Pfizer/BioNTech
Albania,ALB,2021-02-21,4177,2438,611,1128,627,0.15,0.08,0.02,218,Pfizer/BioNTech
Albania,ALB,2021-02-22,6728,6073,655,1128,739,0.23,0.21,0.02,257,Pfizer/BioNTech
Albania,ALB,2021-02-23,6728,6073,655,1128,891,0.23,0.21,0.02,310,Pfizer/BioNTech
