country,date,CountryCode,latitude,longitude,totalVaccinations,peopleVaccinated,peopleFullyVaccinated,dailyVaccinationsRaw,dailyVaccinations,totalVaccinationsPerHundred,peopleVaccinatedPerHundred,peopleFullyVaccinatedPerHundred,dailyVaccinationsPerMillion,vaccines
Afghanistan,2021-02-22,AF,33.93911,67.709953,0,0,0,0,0,0,0,0,0,Oxford/AstraZeneca
Afghanistan,2021-02-23,AF,33.93911,67.709953,0,0,0,0,1367,0,0,0,35,Oxford/AstraZeneca
Afghanistan,2021-02-24,AF,33.93911,67.709953,0,0,0,0,1367,0,0,0,35,Oxford/AstraZeneca
Afghanistan,2021-02-25,AF,33.93911,67.709953,0,0,0,0,1367,0,0,0,35,Oxford/AstraZeneca
Afghanistan,2021-02-26,AF,33.93911,67.709953,0,0,0,0,1367,0,0,0,35,Oxford/AstraZeneca
Afghanistan,2021-02-27,AF,33.93911,67.709953,0,0,0,0,1367,0,0,0,35,Oxford/AstraZeneca
Afghanistan,2021-02-28,AF,33.93911,67.709953,8200,8200,0,0,1367,0.02,0.02,0,35,Oxford/AstraZeneca
Afghanistan,2021-03-01,AF,33.93911,67.709953,8200,8200,0,0,1580,0.02,0.02,0,41,Oxford/AstraZeneca
Afghanistan,2021-03-02,AF,33.93911,67.709953,8200,8200,0,0,1794,0.02,0.02,0,46,Oxford/AstraZeneca
Afghanistan,2021-03-03,AF,33.93911,67.709953,8200,8200,0,0,2008,0.02,0.02,0,52,Oxford/AstraZeneca
Afghanistan,2021-03-04,AF,33.93911,67.709953,8200,8200,0,0,2221,0.02,0.02,0,57,Oxford/AstraZeneca
Afghanistan,2021-03-05,AF,33.93911,67.709953,8200,8200,0,0,2435,0.02,0.02,0,63,Oxford/AstraZeneca
Afghanistan,2021-03-06,AF,33.93911,67.709953,8200,8200,0,0,2649,0.02,0.02,0,68,Oxford/AstraZeneca
Afghanistan,2021-03-07,AF,33.93911,67.709953,8200,8200,0,0,2862,0.02,0.02,0,74,Oxford/AstraZeneca
Afghanistan,2021-03-08,AF,33.93911,67.709953,8200,8200,0,0,2862,0.02,0.02,0,74,Oxford/AstraZeneca
Afghanistan,2021-03-09,AF,33.93911,67.709953,8200,8200,0,0,2862,0.02,0.02,0,74,Oxford/AstraZeneca
