country,date,orderedDays,CountryCode,latitude,longitude,totalVaccinations,peopleVaccinated,peopleFullyVaccinated,dailyVaccinationsRaw,dailyVaccinations,totalVaccinationsPerHundred,peopleVaccinatedPerHundred,peopleFullyVaccinatedPerHundred,dailyVaccinationsPerMillion,vaccines
Afghanistan,2021-02-22,72,AF,33.93911,67.709953,0,0,0,0,0,0,0,0,11495,Pfizer/BioNTech
Afghanistan,2021-02-23,73,AF,33.93911,67.709953,0,0,0,0,1367,0,0,0,792,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
Afghanistan,2021-02-24,74,AF,33.93911,67.709953,0,0,0,0,1367,0,0,0,1239,"Oxford/AstraZeneca, Pfizer/BioNTech"
Afghanistan,2021-02-25,75,AF,33.93911,67.709953,0,0,0,0,1367,0,0,0,19,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Afghanistan,2021-02-26,76,AF,33.93911,67.709953,0,0,0,0,1367,0,0,0,12603,Oxford/AstraZeneca
Afghanistan,2021-02-27,77,AF,33.93911,67.709953,0,0,0,0,1367,0,0,0,2680,"Oxford/AstraZeneca, Sinovac"
Afghanistan,2021-02-28,78,AF,33.93911,67.709953,8200,8200,0,0,1367,0.02,0.02,0,1239,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Afghanistan,2021-03-01,79,AF,33.93911,67.709953,8200,8200,0,0,1580,0.02,0.02,0,40,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Afghanistan,2021-03-02,80,AF,33.93911,67.709953,8200,8200,0,0,1794,0.02,0.02,0,130,"Pfizer/BioNTech, Sinovac"
Afghanistan,2021-03-03,81,AF,33.93911,67.709953,8200,8200,0,0,2008,0.02,0.02,0,23,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Afghanistan,2021-03-04,82,AF,33.93911,67.709953,8200,8200,0,0,2221,0.02,0.02,0,1239,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Afghanistan,2021-03-05,83,AF,33.93911,67.709953,8200,8200,0,0,2435,0.02,0.02,0,64,Pfizer/BioNTech
Afghanistan,2021-03-06,84,AF,33.93911,67.709953,8200,8200,0,0,2649,0.02,0.02,0,130,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Afghanistan,2021-03-07,85,AF,33.93911,67.709953,8200,8200,0,0,2862,0.02,0.02,0,23,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Afghanistan,2021-03-08,86,AF,33.93911,67.709953,8200,8200,0,0,2862,0.02,0.02,0,1239,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Afghanistan,2021-03-09,87,AF,33.93911,67.709953,8200,8200,0,0,2862,0.02,0.02,0,74,"Covaxin, Oxford/AstraZeneca"
Afghanistan,2021-03-10,88,AF,33.93911,67.709953,8200,8200,0,0,2862,0.02,0.02,0,130,Sinovac
Afghanistan,2021-03-11,89,AF,33.93911,67.709953,8200,8200,0,0,2862,0.02,0.02,0,23,"Moderna, Pfizer/BioNTech"
Afghanistan,2021-03-12,90,AF,33.93911,67.709953,8200,8200,0,0,2862,0.02,0.02,0,1239,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Afghanistan,2021-03-13,91,AF,33.93911,67.709953,8200,8200,0,0,2862,0.02,0.02,0,63,Pfizer/BioNTech
Afghanistan,2021-03-14,92,AF,33.93911,67.709953,8200,8200,0,0,2862,0.02,0.02,0,130,Pfizer/BioNTech
Afghanistan,2021-03-15,93,AF,33.93911,67.709953,8200,8200,0,0,2862,0.02,0.02,0,8244,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Afghanistan,2021-03-16,94,AF,33.93911,67.709953,54000,54000,0,0,2862,0.14,0.14,0,23,Pfizer/BioNTech
Albania,2021-01-10,29,AL,41.153332,20.168331,0,0,0,0,2862,0,0,0,1239,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Albania,2021-01-11,30,AL,41.153332,20.168331,0,0,0,0,64,0,0,0,56,Oxford/AstraZeneca
Albania,2021-01-12,31,AL,41.153332,20.168331,128,128,0,0,64,0,0,0,130,"Pfizer/BioNTech, Sinovac"
Albania,2021-01-13,32,AL,41.153332,20.168331,188,188,0,60,63,0.01,0.01,0,848,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V"
Albania,2021-01-14,33,AL,41.153332,20.168331,266,266,0,78,66,0.01,0.01,0,23,"Oxford/AstraZeneca, Sinopharm/Beijing"
Albania,2021-01-15,34,AL,41.153332,20.168331,308,308,0,42,62,0.01,0.01,0,1239,"Oxford/AstraZeneca, Pfizer/BioNTech"
Albania,2021-01-16,35,AL,41.153332,20.168331,369,369,0,61,62,0.01,0.01,0,8872,Sinovac
Albania,2021-01-17,36,AL,41.153332,20.168331,405,405,0,36,58,0.01,0.01,0,79,"Moderna, Pfizer/BioNTech"
Albania,2021-01-18,37,AL,41.153332,20.168331,447,447,0,42,55,0.02,0.02,0,130,Pfizer/BioNTech
Albania,2021-01-19,38,AL,41.153332,20.168331,483,483,0,36,51,0.02,0.02,0,1856,"EpiVacCorona, Sputnik V"
Albania,2021-01-20,39,AL,41.153332,20.168331,519,519,0,36,47,0.02,0.02,0,23,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Albania,2021-01-21,40,AL,41.153332,20.168331,549,549,0,30,40,0.02,0.02,0,1161,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Albania,2021-01-22,41,AL,41.153332,20.168331,549,549,0,30,34,0.02,0.02,0,173,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Albania,2021-01-23,42,AL,41.153332,20.168331,549,549,0,30,26,0.02,0.02,0,98,Oxford/AstraZeneca
Albania,2021-01-24,43,AL,41.153332,20.168331,549,549,0,30,21,0.02,0.02,0,130,Sinovac
Albania,2021-01-25,44,AL,41.153332,20.168331,549,549,0,30,15,0.02,0.02,0,2952,Oxford/AstraZeneca
Albania,2021-01-26,45,AL,41.153332,20.168331,549,549,0,30,9,0.02,0.02,0,2568,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
Albania,2021-01-27,46,AL,41.153332,20.168331,549,549,0,30,4,0.02,0.02,0,23,"Pfizer/BioNTech, Sinovac"
Albania,2021-01-28,47,AL,41.153332,20.168331,549,549,0,30,4,0.02,0.02,0,1083,Oxford/AstraZeneca
Albania,2021-01-29,48,AL,41.153332,20.168331,549,549,0,30,4,0.02,0.02,0,381,Sinopharm/Beijing
Albania,2021-01-30,49,AL,41.153332,20.168331,549,549,0,30,4,0.02,0.02,0,456,Pfizer/BioNTech
Albania,2021-01-31,50,AL,41.153332,20.168331,549,549,0,30,4,0.02,0.02,0,121,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
Albania,2021-02-01,51,AL,41.153332,20.168331,549,549,0,30,4,0.02,0.02,0,130,"Oxford/AstraZeneca, Pfizer/BioNTech"
Albania,2021-02-02,52,AL,41.153332,20.168331,550,549,1,30,4,0.02,0.02,0,4020,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Albania,2021-02-03,53,AL,41.153332,20.168331,550,549,1,30,12,0.02,0.02,0,469,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Albania,2021-02-04,54,AL,41.153332,20.168331,550,549,1,30,24,0.02,0.02,0,86,Oxford/AstraZeneca
Albania,2021-02-05,55,AL,41.153332,20.168331,550,549,1,30,35,0.02,0.02,0,1005,Oxford/AstraZeneca
Albania,2021-02-06,56,AL,41.153332,20.168331,550,549,1,30,47,0.02,0.02,0,450,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Albania,2021-02-07,57,AL,41.153332,20.168331,550,549,1,30,59,0.02,0.02,0,6527,Sputnik V
